Months,Values
1992 JUL,1.7
1992 AUG,5.2
1992 SEP,3.8
1992 OCT,9
1992 NOV,5.9
1992 DEC,8.4
1993 JAN,9.5
1993 FEB,8.1
1993 MAR,5.5
1993 APR,7.2
1993 MAY,12.3
1993 JUN,6.7
1993 JUL,5.3
1993 AUG,4.5
1993 SEP,2.4
1993 OCT,1.2
1993 NOV,2.8
1993 DEC,1.6
1994 JAN,7.9
1994 FEB,8.7
1994 MAR,9.2
1994 APR,13
1994 MAY,12.9
1994 JUN,10.2
1994 JUL,11.7
1994 AUG,13.3
1994 SEP,15.4
1994 OCT,15.2
1994 NOV,14.7
1994 DEC,13.4
1995 JAN,7.7
1995 FEB,7.6
1995 MAR,7.7
1995 APR,4.2
1995 MAY,4.2
1995 JUN,6.4
1995 JUL,7
1995 AUG,7.6
1995 SEP,7.2
1995 OCT,8.1
1995 NOV,8.8
1995 DEC,6.4
1996 JAN,10.9
1996 FEB,8.8
1996 MAR,8.1
1996 APR,6.7
1996 MAY,7.3
1996 JUN,5
1996 JUL,4.9
1996 AUG,3.9
1996 SEP,2.6
1996 OCT,1.6
1996 NOV,0.6
1996 DEC,1.3
1997 JAN,-0.7
1997 FEB,1
1997 MAR,4.3
1997 APR,4.3
1997 MAY,0.3
1997 JUN,11.7
1997 JUL,9.6
1997 AUG,9.2
1997 SEP,12.9
1997 OCT,18.5
1997 NOV,20.8
1997 DEC,22.4
1998 JAN,25.2
1998 FEB,34.3
1998 MAR,34.2
1998 APR,31.3
1998 MAY,32.9
1998 JUN,9.8
1998 JUL,14.5
1998 AUG,10.5
1998 SEP,1.6
1998 OCT,-4.5
1998 NOV,-4.6
1998 DEC,2.6
1999 JAN,12.9
1999 FEB,-0.9
1999 MAR,-5.3
1999 APR,-6.7
1999 MAY,-5.1
1999 JUN,4.1
1999 JUL,1.4
1999 AUG,5.3
1999 SEP,14.8
1999 OCT,14
1999 NOV,14.2
1999 DEC,3.7
2000 JAN,-2.9
2000 FEB,0.4
2000 MAR,1.6
2000 APR,3.3
2000 MAY,-0.9
2000 JUN,-2.6
2000 JUL,-4.2
2000 AUG,-0.5
2000 SEP,-3.8
2000 OCT,-2
2000 NOV,-4.7
2000 DEC,6.3
2001 JAN,-6.7
2001 FEB,0.4
2001 MAR,3.7
2001 APR,0.2
2001 MAY,0.5
2001 JUN,10.3
2001 JUL,6
2001 AUG,5.1
2001 SEP,8.3
2001 OCT,11.4
2001 NOV,18.7
2001 DEC,11
2002 JAN,17.5
2002 FEB,25.1
2002 MAR,34.2
2002 APR,41.3
2002 MAY,51.1
2002 JUN,33.3
2002 JUL,52.8
2002 AUG,36.6
2002 SEP,35.5
2002 OCT,24.2
2002 NOV,14.6
2002 DEC,12
2003 JAN,4.7
2003 FEB,-8.5
2003 MAR,-20.6
2003 APR,-17.2
2003 MAY,-18.5
2003 JUN,-15.4
2003 JUL,-21.8
2003 AUG,-12.4
2003 SEP,-16.2
2003 OCT,-4
2003 NOV,-2.7
2003 DEC,-4.4
2004 JAN,17.9
2004 FEB,15.7
2004 MAR,21.4
2004 APR,19.4
2004 MAY,18.2
2004 JUN,20.7
2004 JUL,22.7
2004 AUG,15.7
2004 SEP,17.1
2004 OCT,11.5
2004 NOV,15.7
2004 DEC,22.7
2005 JAN,7
2005 FEB,11.6
2005 MAR,7.2
2005 APR,10.6
2005 MAY,3.6
2005 JUN,-2.9
2005 JUL,-4.7
2005 AUG,2.1
2005 SEP,6.9
2005 OCT,0.9
2005 NOV,0.9
2005 DEC,-2
2006 JAN,7.1
2006 FEB,15.5
2006 MAR,16.4
2006 APR,9.6
2006 MAY,19.3
2006 JUN,25.9
2006 JUL,23.9
2006 AUG,17.6
2006 SEP,13.4
2006 OCT,18.8
2006 NOV,21.3
2006 DEC,14.8
2007 JAN,13.7
2007 FEB,1.8
2007 MAR,5.2
2007 APR,4.1
2007 MAY,2.8
2007 JUN,3.8
2007 JUL,7.6
2007 AUG,6
2007 SEP,9.8
2007 OCT,8.6
2007 NOV,-2.7
2007 DEC,14.4
2008 JAN,9.9
2008 FEB,13.9
2008 MAR,13.9
2008 APR,17.8
2008 MAY,24.2
2008 JUN,20.2
2008 JUL,18.8
2008 AUG,26
2008 SEP,18.8
2008 OCT,19.1
2008 NOV,24.2
2008 DEC,10.8
2009 JAN,8.1
2009 FEB,5.6
2009 MAR,5.9
2009 APR,8.6
2009 MAY,0.5
2009 JUN,4.9
2009 JUL,1.1
2009 AUG,-3.2
2009 SEP,6.2
2009 OCT,7.7
2009 NOV,11.4
2009 DEC,8.6
2010 JAN,-2.7
2010 FEB,5.5
2010 MAR,4.8
2010 APR,-3.5
2010 MAY,5.3
2010 JUN,-0.1
2010 JUL,1.1
2010 AUG,5.5
2010 SEP,-5.1
2010 OCT,-4.1
2010 NOV,-6.1
2010 DEC,-4.3
2011 JAN,11.8
2011 FEB,7.8
2011 MAR,4.9
2011 APR,9.8
2011 MAY,2.3
2011 JUN,10
2011 JUL,9.2
2011 AUG,2.4
2011 SEP,0.1
2011 OCT,-1.5
2011 NOV,-0.3
2011 DEC,-1.2
2012 JAN,-0.6
2012 FEB,-5.8
2012 MAR,-3.4
2012 APR,0.8
2012 MAY,1.3
2012 JUN,-8.9
2012 JUL,-2.8
2012 AUG,0.3
2012 SEP,5.1
2012 OCT,7.9
2012 NOV,7.4
2012 DEC,14.4
2013 JAN,8.9
2013 FEB,6.4
2013 MAR,16.2
2013 APR,9.3
2013 MAY,5.8
2013 JUN,12.7
2013 JUL,5.7
2013 AUG,6.9
2013 SEP,6.5
2013 OCT,-0.7
2013 NOV,3.9
2013 DEC,-1.6
2014 JAN,4.3
2014 FEB,6.5
2014 MAR,-3.1
2014 APR,1.9
2014 MAY,-2.5
2014 JUN,-3.3
2014 JUL,-1.9
2014 AUG,-2.7
2014 SEP,3.8
2014 OCT,-3.7
2014 NOV,-9.6
2014 DEC,4.9
2015 JAN,-18.4
2015 FEB,-18.7
2015 MAR,-15.7
2015 APR,-19.2
2015 MAY,-13.8
2015 JUN,-8.6
2015 JUL,-11.4
2015 AUG,-11.9
2015 SEP,-15.6
2015 OCT,-7.5
2015 NOV,-4.4
2015 DEC,-13.7
2016 JAN,4
2016 FEB,5.7
2016 MAR,1.6
2016 APR,14.4
2016 MAY,11.9
2016 JUN,6.7
2016 JUL,13.7
2016 AUG,14
2016 SEP,13.6
2016 OCT,16.6
2016 NOV,13.7
2016 DEC,17.6
2017 JAN,12.3
2017 FEB,11.3
2017 MAR,5.9
2017 APR,-2.6
2017 MAY,3.7
2017 JUN,9.2
2017 JUL,-1.6
2017 AUG,0.1
2017 SEP,6.6
